delta	Zonotope	Correction-hull	First-order	Forward-backward	Forward
2.0e-5	12.337652	4109.381582999999	12.307309	587.391424	617.8194410000001
3.0e-5	91.296455	5175.88255	11.495285	566.8504149999999	371.381631
4.0e-5	18.588381000000002	4068.2274740000003	7.781540000000001	533.006836	363.55642700000004
5.0e-5	12.212966999999999	4030.081726	8.000555	535.543711	365.697887
6.0e-5	13.284996	4237.3729969999995	9.715459000000001	567.400538	452.717394
7.0e-5	20.182213	5815.4696460000005	117.97122300000001	766.4749210000001	370.40275199999996
8.0e-5	13.498237000000001	4993.0981	9.411581	581.5462699999999	477.90456500000005
9.0e-5	23.876402	5308.167876	115.68211300000002	1096.566127	775.2618749999999
0.0001	168.028006	4846.052745999999	10.52682	595.720009	383.98269400000004
0.0002	18.039212	6474.510943	81.82816799999999	1174.1251809999999	688.475806
0.0003	20.216327000000003	6389.686189999999	9.551069	637.458628	415.55942799999997
0.0004	31.553606000000002	4358.206099000001	9.224089	554.9433919999999	392.958112
0.0005	21.128929	4235.397088000001	12.550971000000002	583.308442	386.334241
0.0006	18.090469	4343.620713	13.115439999999998	565.516413	436.693474
0.0007	18.019650000000002	4425.970235	9.820720999999999	574.183332	413.933904
0.0008	18.240597	4376.71121	9.265661999999999	579.665794	401.66486499999996
0.0009	23.295662999999998	4317.775259000001	9.981992	576.1397	471.62533099999996
0.001	27.458457	5390.452959	12.603824000000001	579.8382490000001	396.318067
0.002	119.538298	4551.894071	9.333681	564.131574	402.490924
0.003	18.480856	4610.190540999999	20.42503	605.41276	398.064611
0.004	19.424057	4178.468119	12.22497	582.284317	416.50825900000007
0.005	18.720553	4122.266295	11.417642	675.302851	429.524706
0.006	18.894771000000002	4434.58903	18.660453	630.6341889999999	869.3384920000001
0.007	92.182396	5189.603395000001	12.009547	636.615295	469.18917899999997
0.008	21.560032999999997	5230.292705999999	14.191215	645.672681	427.899855
0.009	19.430746	5183.865412	12.935592	649.3926540000001	740.3091039999999
0.01	61.092592	6412.091448000001	213.05492	1352.076723	531.3952350000001
0.011	18.494529	4291.591457	11.578726	593.638661	414.676355
0.012	18.113438000000002	4275.257344000001	22.241802	612.631302	415.728233
0.013	18.261129	4241.947529	10.618293000000001	666.274551	591.4675830000001
0.014	19.879247	4081.020921	10.935262000000002	584.5270059999999	437.932742
0.015	45.316436	4119.355204	11.945537000000002	639.8686130000001	475.895885
0.016	33.463026000000006	4270.253387	11.789704	646.753033	453.128817
0.017	21.395177	4183.825634999999	11.815904	600.53066	448.956953
0.018	23.440060000000003	4236.979119	12.527115	622.882395	460.068066
0.019	20.239666	4702.917186	30.664565	730.195208	456.779656
0.02	43.328953	4738.243371	30.324354	644.854248	626.005247
